University of Illinois System - Investment Office,,,,,
Security Inventory,,,,,
By Fund Group,,,,,
"June 30, 2022",,,,,
,,,,,
,,Maturity,,,
Account or Security,Coupon,Date,Quantity,Cost Value,Market Value
,,,,,
CURRENT FUNDS,,,,,
,,,,,
Agency Funds,,,,,
,,,,,
1-901237 - DIA Dugout Club,,,,,
JP MORGAN - DIA DUGOUT CLUB,0.01,,"369,394.40","369,394.40","369,394.40"
,,,,,
1-901238 - DIA Rebounders,,,,,
JP MORGAN - DIA REBOUNDERS,0.01,,"100,903.48","100,903.48","100,903.48"
,,,,,
1-901239 - DIA Courtsiders,,,,,
JP MORGAN - DIA COURTSIDERS,0.01,,"111,680.96","111,680.96","111,680.96"
,,,,,
1-901240 - DIA Quarterback Club,,,,,
JP MORGAN - DIA QUARTERBACK CLUB,0.01,,"27,040.51","27,040.51","27,040.51"
,,,,,
1-901243 - DIA On Deck Circle,,,,,
JP MORGAN - DIA ON DECK CIRCLE,0.01,,"8,878.21","8,878.21","8,878.21"
,,,,,
1-901245 - DIA Advantage Illinois,,,,,
JP MORGAN - DIA ADVANTAGE ILLINOIS,0.01,,"77,305.08","77,305.08","77,305.08"
,,,,,
1-901248 - DIA Networkers,,,,,
JP MORGAN - DIA NETWORKERS,0.01,,"28,478.60","28,478.60","28,478.60"
,,,,,
9-901027 - 292 CARLI,,,,,
JP MORGAN - CARLI,0.01,,"5,088,458.52","5,088,458.52","5,088,458.52"
,,,,,
TOTAL AGENCY FUNDS,,,,"5,812,139.76","5,812,139.76"
,,,,,
Operating Funds Pool,,,,,
,,,,,
51000  - Collateralized Bank Balances,,,,,
COLLATERALIZED BANK BALANCES,0.00,,"13,383,812.51","13,383,812.51","13,383,812.51"
,,,,,
9-200100-Neuberger Intermediate,,,,,
Asset-Backed Securities,,,,,
CHASE FDG MTG LN 2004-1 MTG LN,2.08,12/25/33,"6,462.53","6,462.53","6,068.88"
MVW 2021-2 LLC TIMESHARE LN BK,1.43,05/20/39,"737,880.25","737,679.54","672,033.22"
PFS FING CORP .77% 08-15-2026,0.77,08/15/26,"1,090,000.00","1,089,872.25","1,010,524.50"
PVTPL AVIS BUDGET RENT CAR FDG,1.82,02/20/28,"1,107,000.00","1,106,933.47","986,787.44"
PVTPL HILTON GRAND VACATIONS T,3.61,06/20/34,"385,252.04","385,210.60","376,337.73"
PVTPL MARLETTE FUNDING TRUST 2,0.51,09/15/31,"211,710.63","211,709.75","209,663.20"
PVTPL SIERRA TIMESHARE RECEIVA,2.59,05/20/36,"217,047.57","222,812.89","212,274.74"
SIERRA TIMESHARE 2021-2 RECEIV,1.35,09/20/38,"200,626.30","200,600.58","190,116.07"
SIERRA TIMESHARE 2022-1 RECEIV,3.05,10/20/38,"439,426.04","439,315.03","423,046.83"
,,,,,
Commercial Mortgage Backed Securities,,,,,
BBCMS MTG TR 2021-C11 COML MTG,1.51,09/15/54,"4,073,158.42","421,756.46","342,989.67"
BENCHMARK 2021-B26 MTG TR COML,1.00,06/15/54,"5,571,258.53","370,775.42","302,179.49"
BENCHMARK 2021-B30 MTG TR MTG,0.93,11/15/54,"2,630,792.05","180,135.53","149,550.00"
BENCHMARK 2021-B31 MTG PASS TH,3.20,12/15/54,"417,000.00","416,974.48","333,728.69"
BENCHMARK 2022-B34 MTG TR MTG,3.79,04/15/55,"462,000.00","475,839.00","442,151.60"
BX COML MTG TR 2021-VOLT MTG P,2.02,09/15/36,"460,000.00","460,000.00","443,660.57"
BX TR 2021-SDMF MTG PASS THRU,1.91,09/15/34,"333,000.00","331,996.40","315,857.16"
CD 2018-CD7 MTG TR COML MTG PA,4.28,08/15/51,"400,000.00","461,171.88","397,621.88"
CD COMMERCIAL MORT TR SER 2018,3.28,08/15/51,"117,401.43","117,399.30","116,793.91"
CITIGROUP COML MTG TR 2014-GC2,3.34,07/10/47,"277,931.56","280,645.73","276,738.29"
CITIGROUP COML MTG TR 2022-GC4,4.58,05/15/54,"420,000.00","432,528.35","432,325.36"
CITIGROUP COML MTG TR SR 2017-,3.47,10/12/50,"255,000.00","275,091.21","243,219.41"
CMO BANK 2022-BNK39 CL A4 2.85,2.93,02/15/55,"92,000.00","82,839.53","82,476.62"
CMO BENCHMARK 2021-B29 MTG TR,2.39,09/15/54,"154,000.00","132,945.31","131,726.75"
CMO BENCHMARK 2021-B31 SR 21-B,2.67,12/15/54,"255,000.00","225,724.80","222,784.70"
CMO BENCHMARK MORTGAGE TRUST S,1.98,12/17/53,"128,000.00","108,235.00","107,121.08"
CMO CITIGROUP COML MTG TR 2013,3.73,04/10/46,"585,000.00","583,103.32","580,394.76"
CMO CITIGROUP COML MTG TR 2019,2.87,08/10/56,"177,000.00","162,978.28","161,002.12"
CMO CITIGROUP COML MTG TR SER ,4.41,11/10/51,"535,000.00","622,752.54","534,412.84"
CMO COMM 2013-CCRE12 MTG TR MT,4.05,10/10/46,"665,000.00","709,828.91","661,351.08"
CMO GS MTG SECS TR 2013-GCJ14,3.82,08/10/46,"208,828.54","217,140.88","209,013.98"
CMO MORGAN STANLEY CAP I TR 20,4.88,10/15/51,"290,000.00","298,673.47","282,749.48"
CMO MORGAN STANLEY CAP I TR SE,2.04,07/15/53,"171,000.00","146,331.91","144,436.79"
CMO SER 12-C9 CL A3 2.87% DUE,2.87,11/15/45,"302,921.91","290,639.39","302,377.50"
CMO WELLS FARGO COML MTG TR 20,4.15,08/15/51,"250,000.00","281,875.00","247,101.98"
CMO WELLS FARGO COML MTG TR 20,4.30,01/15/52,"850,000.00","977,068.36","847,072.69"
COMM SER  2014-CR21 CLS AM 2.1,3.99,12/10/47,"285,000.00","288,039.26","280,017.46"
CSAIL SER 2015-C1  CL B 4.0437,4.04,04/15/50,"288,000.00","290,147.37","267,329.32"
DEUTSCHE BANK COMMERCIAL MTG T,3.28,05/10/49,"663,500.00","682,271.00","640,760.40"
ELLINGTON FINL MTG TR 2022-1 2,2.21,01/25/67,"140,281.66","140,279.21","127,872.48"
GCAT 2021-NQM5 TR MTG PASS THR,1.26,07/25/66,"494,286.88","494,277.04","436,555.56"
GS MTG SECS TR 2020-GC47 COML,2.38,05/12/53,"38,000.00","33,413.28","33,025.91"
I/O CMO GS MTG SECS TR 2015-GC,0.87,05/10/50,"3,913,660.32","93,048.37","68,445.61"
J P MORGAN CHASE COML MTG SECS,3.38,01/05/39,"251,000.00","258,027.50","229,930.16"
PVTPL BXP TRUST SR 2017-GM 201,3.38,06/13/39,"193,000.00","189,230.47","180,320.05"
PVTPL CAMB COML MTG SR 2019-LI,2.57,12/15/37,"502,000.00","494,783.75","486,964.80"
PVTPL CMO ANGEL OAK MTG TR SER,2.62,11/25/59,"124,376.56","124,376.25","122,121.23"
PVTPL CMO BB-UBS TR 2012-SHOW,3.43,11/05/36,"574,000.00","605,951.17","552,206.54"
PVTPL CMO BX TR 2019-OC11 3.01,3.20,12/09/41,"499,000.00","542,389.61","445,837.44"
PVTPL CMO GCAT 2019-NQM3 TR 0.,2.69,11/25/59,"163,909.15","163,905.39","158,038.35"
PVTPL CMO GS MTG SECS TR 2012-,3.75,11/10/45,"435,000.00","429,103.71","431,919.55"
PVTPL CMO J P MORGAN CHASE COM,4.02,07/05/32,"322,000.00","326,528.13","321,842.61"
PVTPL CMO MANHATTAN WEST 2020-,2.13,09/10/39,"537,000.00","542,097.30","472,224.64"
PVTPL CMO NEW RESIDENTIAL MTG ,2.71,11/25/59,"203,117.79","203,117.79","192,367.35"
PVTPL CMO STARWOOD MTG RESIDEN,2.61,09/27/49,"10,212.32","10,212.18","10,196.57"
PVTPL CMO STARWOOD MTG RESIDEN,1.92,11/25/66,"492,095.14","492,094.05","433,328.10"
