,Unnamed: 0,Name,Coupon,Maturity Date,Quantity,Cost Val,Market Val,Asset Type,Year,Ticker
62,110,ABBVIE  ,2.6,2024-11-21,1065000.0,1135158.13,1030877.86,Corporate Bonds,2023,ABBV
63,111,ABBVIE  ,2.95,2026-11-21,495000.0,545836.8,469035.55,Corporate Bonds,2023,ABBV
64,112,AERCAP IRELAND CAP / GLOBA 3.0,3.0,2028-10-29,440000.0,439199.2,370620.29,Corporate Bonds,2023,AER
65,113,AERCAP IRELAND CAP / GLOBA ,3.56,2032-01-30,430000.0,428383.2,344211.28,Corporate Bonds,2023,AER
66,114,ANALOG DEVICES  ,2.1,2031-10-01,1030000.0,1024108.4,879448.12,Corporate Bonds,2023,ADI
67,115,ANHEUSER-BUSCH INBEV WORLDWIDE,4.75,2029-01-23,505000.0,503409.25,513768.63,Corporate Bonds,2023,BUD
68,116,APPLE  ,1.65,2031-02-08,770000.0,769784.4,647288.13,Corporate Bonds,2023,AAPL
69,117,APPLE  ,3.2,2027-05-11,345000.0,345000.0,340147.68,Corporate Bonds,2023,AAPL
70,118,AT&T  ,2.3,2027-06-01,455000.0,454326.6,415344.07,Corporate Bonds,2023,T
71,119,AT&T  ,2.55,2033-12-01,610000.0,612845.31,494852.53,Corporate Bonds,2023,T
72,120,AT&T  ,4.35,2029-03-01,745000.0,741334.6,733555.02,Corporate Bonds,2023,T
73,121,B A T CAP CORP ,2.26,2028-03-25,525000.0,525000.0,439811.57,Corporate Bonds,2023,BTI
74,122,BANK AMER CORP ,3.37,2026-01-23,810000.0,781836.3,784478.24,Corporate Bonds,2023,BAIBUU.CO
75,123,BANK OF AMERICA CORP ,2.3,2032-07-21,1115000.0,1115000.0,901027.46,Corporate Bonds,2023,BAC
76,124,BANK OF AMERICA CORP ,4.57,2033-04-27,300000.0,300000.0,291963.31,Corporate Bonds,2023,BAC
77,125,BOEING CO ,1.43,2024-02-04,1735000.0,1735000.0,1657322.8,Corporate Bonds,2023,BA
78,126,BOEING CO ,5.04,2027-05-01,480000.0,543984.0,474128.8,Corporate Bonds,2023,BA
79,127,BOEING CO FIXED ,5.15,2030-05-01,1890000.0,1955210.55,1814169.51,Corporate Bonds,2023,BA
80,128,BRISTOL-MYERS SQUIBB CO ,2.95,2032-03-15,480000.0,478257.6,439694.91,Corporate Bonds,2023,BMY
81,129,BROADCOM  ,3.15,2025-11-15,215000.0,232026.12,207051.2,Corporate Bonds,2023,AVGO
82,130,CARRIER GLOBAL CORP ,2.49,2027-02-15,100000.0,106425.63,90974.9,Corporate Bonds,2023,CARR
83,131,CDW LLC/CDW FIN CORP ,3.28,2028-12-01,435000.0,435000.0,375233.18,Corporate Bonds,2023,CDW
84,132,CDW LLC/CDW FINANCE CORP 3.569,3.57,2031-12-01,890000.0,885997.1,735286.85,Corporate Bonds,2023,CDW
85,133,CHARTER COMMUNICATIONS OPER LL,2.8,2031-04-01,775000.0,771597.75,620664.8,Corporate Bonds,2023,CHTR
86,134,CITIGROUP  ,2.88,2023-07-24,530000.0,530000.0,529767.84,Corporate Bonds,2023,C
87,135,COMCAST CORP NEW ,1.5,2031-02-15,1130000.0,1126191.9,908170.32,Corporate Bonds,2023,CTP2.SG
88,136,CSL FINANCE PLC CSLAU 4 1/4 04,4.25,2032-04-27,690000.0,687550.5,674624.96,Corporate Bonds,2023,CSLFINANCE.BO
89,137,CVS HEALTH CORP ,1.3,2027-08-21,575000.0,573390.0,495451.77,Corporate Bonds,2023,CVS
90,138,ENTERGY TEX  ,1.75,2031-03-15,375000.0,373612.5,303254.37,Corporate Bonds,2023,ETI-P
91,139,EVERGY  ,2.45,2024-09-15,545000.0,544051.7,524026.46,Corporate Bonds,2023,EVRG
92,140,GENERAL MTRS CO ,6.8,2027-10-01,495000.0,493886.25,521167.09,Corporate Bonds,2023,GM
93,141,GOLDMAN SACHS GROUP  ,1.99,2032-01-27,385000.0,385000.0,304126.88,Corporate Bonds,2023,GS
94,142,GOLDMAN SACHS GROUP  ,3.27,2025-09-29,560000.0,559813.48,544078.81,Corporate Bonds,2023,GS
95,143,GOLDMAN SACHS GROUP  ,3.69,2028-06-05,460000.0,440712.2,436209.81,Corporate Bonds,2023,GS
96,144,HSBC HLDGS PLC ,2.01,2028-09-22,390000.0,390000.0,333581.13,Corporate Bonds,2023,HBC1.DE
97,145,HSBC HLDGS PLC ,2.21,2029-08-17,365000.0,365000.0,306572.03,Corporate Bonds,2023,HBC1.DE
98,146,HUMANA  ,1.35,2027-02-03,745000.0,744292.25,651379.2,Corporate Bonds,2023,HUM
99,147,JPMORGAN CHASE & CO ,2.96,2031-05-13,390000.0,390000.0,336719.62,Corporate Bonds,2023,JPM
100,148,JPMORGAN CHASE & CO ,3.22,2025-03-01,790000.0,796521.38,775786.32,Corporate Bonds,2023,JPM
101,149,JPMORGAN CHASE & CO ,3.78,2028-02-01,785000.0,766960.7,753809.14,Corporate Bonds,2023,JPM
102,150,KINDER MORGAN ENERGY PARTNERS ,4.15,2024-02-01,450000.0,456715.99,450075.56,Corporate Bonds,2023,KMI
103,151,KINDER MORGAN  DEL ,4.3,2025-06-01,460000.0,465188.8,457632.86,Corporate Bonds,2023,KMI
104,152,KLA CORP ,4.65,2032-07-15,355000.0,354790.55,362149.49,Corporate Bonds,2023,KLAC
105,153,MARVELL TECHNOLOGY  ,2.45,2028-04-15,470000.0,474829.87,410122.26,Corporate Bonds,2023,MRVL
106,154,MARVELL TECHNOLOGY  ,2.95,2031-04-15,545000.0,552133.45,457017.35,Corporate Bonds,2023,MRVL
107,155,MERCK & CO /BRISTOL-MYERS S,1.7,2027-06-10,1910000.0,1909197.8,1735044.63,Corporate Bonds,2023,MRK
108,156,MITSUBISHI UFJ FINL GROUP  ,2.62,2022-07-18,855000.0,855000.0,855077.39,Corporate Bonds,2023,MFZ.BE
109,157,MORGAN STANLEY ,1.93,2032-04-28,385000.0,385000.0,305292.84,Corporate Bonds,2023,MS
110,158,MORGAN STANLEY ,2.48,2036-09-16,575000.0,575000.0,442129.62,Corporate Bonds,2023,MS
