,Account or Security,Coupon,Date,Quantity,Cost Value,Market Value,Bank,Asset Type,Company,Industry,Private Placement,Info,Ticker
103,Corporate Bonds,,,,,,9-200100-Neuberger Intermediate,Corporate Bonds,Corporate Bonds,,False,<class 'object'>,
104,ABBVIE INC 2.6% DUE 11-21-2024,2.6,2024-11-21 00:00:00,1065000.0,1135158.13,1030877.86,9-200100-Neuberger Intermediate,Corporate Bonds,ABBVIE  INC,,False,<class 'object'>,ABBV
105,ABBVIE INC 2.95% DUE ,2.95,2026-11-21 00:00:00,495000.0,545836.8,469035.55,9-200100-Neuberger Intermediate,Corporate Bonds,ABBVIE  INC,,False,<class 'object'>,ABBV
106,AERCAP IRELAND CAP / GLOBA 3.0,3,2028-10-29 00:00:00,440000.0,439199.2,370620.29,9-200100-Neuberger Intermediate,Corporate Bonds,AERCAP IRELAND  CAP,,False,<class 'object'>,AER
107,AERCAP IRELAND CAP / GLOBA ,3.56,1932-01-30 00:00:00,430000.0,428383.2,344211.28,9-200100-Neuberger Intermediate,Corporate Bonds,AERCAP IRELAND  CAP,,False,<class 'object'>,AER
108,ANALOG DEVICES INC 2.1% 10-01-,2.1,1931-10-01 00:00:00,1030000.0,1024108.4,879448.12,9-200100-Neuberger Intermediate,Corporate Bonds,ANALOG DEVICES  INC,,False,<class 'object'>,ADI
109,ANHEUSER-BUSCH INBEV WORLDWIDE,4.75,2029-01-23 00:00:00,505000.0,503409.25,513768.63,9-200100-Neuberger Intermediate,Corporate Bonds,ANHEUSER-BUSCH CO,,False,<class 'object'>,BUD
110,APPLE INC 1.65% DUE ,1.65,1931-02-08 00:00:00,770000.0,769784.4,647288.13,9-200100-Neuberger Intermediate,Corporate Bonds,APPLE  INC,,False,<class 'object'>,AAPL
111,APPLE INC 3.2% DUE 05-11-2027/,3.2,2027-05-11 00:00:00,345000.0,345000.0,340147.68,9-200100-Neuberger Intermediate,Corporate Bonds,APPLE  INC,,False,<class 'object'>,AAPL
112,AT&T INC 2.3% DUE 06-01-2027 ,2.3,2027-06-01 00:00:00,455000.0,454326.6,415344.07,9-200100-Neuberger Intermediate,Corporate Bonds,AT&T  INC,,False,<class 'object'>,T
113,AT&T INC 2.55% DUE 12-01-2033 ,2.55,1933-12-01 00:00:00,610000.0,612845.31,494852.53,9-200100-Neuberger Intermediate,Corporate Bonds,AT&T  INC,,False,<class 'object'>,T
114,AT&T INC 4.35% DUE 03-01-2029/,4.35,2029-03-01 00:00:00,745000.0,741334.6,733555.02,9-200100-Neuberger Intermediate,Corporate Bonds,AT&T  INC,,False,<class 'object'>,T
115,B A T CAP CORP 2.259% DUE ,2.26,2028-03-25 00:00:00,525000.0,525000.0,439811.57,9-200100-Neuberger Intermediate,Corporate Bonds,B A T  CAP,,False,<class 'object'>,BZ=F
116,BANK AMER CORP 3.366% DUE 01-2,3.37,2026-01-23 00:00:00,810000.0,781836.3,784478.24,9-200100-Neuberger Intermediate,Corporate Bonds,BANK OF AMERICA CO,,False,<class 'object'>,BAC
117,BANK OF AMERICA CORP 2.299% 07,2.3,1932-07-21 00:00:00,1115000.0,1115000.0,901027.46,9-200100-Neuberger Intermediate,Corporate Bonds,BANK OF AMERICA  CO,,False,<class 'object'>,BAC
118,BANK OF AMERICA CORP 4.571% ,4.57,1933-04-27 00:00:00,300000.0,300000.0,291963.31,9-200100-Neuberger Intermediate,Corporate Bonds,BANK OF AMERICA  CO,,False,<class 'object'>,BAC
119,BOEING CO 1.433% 02-04-2024 ,1.43,2024-02-04 00:00:00,1735000.0,1735000.0,1657322.8,9-200100-Neuberger Intermediate,Corporate Bonds,BOEING  CO,,False,<class 'object'>,BA
120,BOEING CO 5.04% DUE ,5.04,2027-05-01 00:00:00,480000.0,543984.0,474128.8,9-200100-Neuberger Intermediate,Corporate Bonds,BOEING  CO,,False,<class 'object'>,BA
121,BOEING CO FIXED 5.15% DUE 05-0,5.15,1930-05-01 00:00:00,1890000.0,1955210.55,1814169.51,9-200100-Neuberger Intermediate,Corporate Bonds,BOEING  CO,,False,<class 'object'>,BA
122,BRISTOL-MYERS SQUIBB CO 2.95% ,2.95,1932-03-15 00:00:00,480000.0,478257.6,439694.91,9-200100-Neuberger Intermediate,Corporate Bonds,BRISTOL MYERS SQUIBB CO,,False,<class 'object'>,BMY
123,BROADCOM INC 3.15% DUE ,3.15,2025-11-15 00:00:00,215000.0,232026.12,207051.2,9-200100-Neuberger Intermediate,Corporate Bonds,BROADCOM  INC,,False,<class 'object'>,AVGO
124,CARRIER GLOBAL CORP 2.493% ,2.49,2027-02-15 00:00:00,100000.0,106425.63,90974.9,9-200100-Neuberger Intermediate,Corporate Bonds,CARRIER GLOBAL  CO,,False,<class 'object'>,CARR
125,CDW LLC/CDW FIN CORP 3.276% 12,3.28,2028-12-01 00:00:00,435000.0,435000.0,375233.18,9-200100-Neuberger Intermediate,Corporate Bonds,CDW  LLC,,False,<class 'object'>,CDW
126,CDW LLC/CDW FINANCE CORP 3.569,3.57,1931-12-01 00:00:00,890000.0,885997.1,735286.85,9-200100-Neuberger Intermediate,Corporate Bonds,CDW  LLC,,False,<class 'object'>,CDW
127,CHARTER COMMUNICATIONS OPER LL,2.8,1931-04-01 00:00:00,775000.0,771597.75,620664.8,9-200100-Neuberger Intermediate,Corporate Bonds,CHARTER  CO,,False,<class 'object'>,CHTR
128,CITIGROUP INC 2.876% DUE ,2.88,2023-07-24 00:00:00,530000.0,530000.0,529767.84,9-200100-Neuberger Intermediate,Corporate Bonds,CITIGROUP  INC,,False,<class 'object'>,C
129,COMCAST CORP NEW 1.5% DUE ,1.5,1931-02-15 00:00:00,1130000.0,1126191.9,908170.32,9-200100-Neuberger Intermediate,Corporate Bonds,COMCAST  CO,,False,<class 'object'>,CMCSA
130,CSL FINANCE PLC CSLAU 4 1/4 04,4.25,1932-04-27 00:00:00,690000.0,687550.5,674624.96,9-200100-Neuberger Intermediate,Corporate Bonds,CSL FINANCE PLC CSLAU 4 1/4 04,,False,<class 'object'>,CSL
